2017
128 127
0 32 0
0 86 2
0 66 6
66 69 3
32 21 10
0 5 11
5 56 1
56 9 2
9 105 0
5 68 2
68 108 3
68 70 8
70 119 8
9 65 8
65 64 6
64 4 0
4 6 1
64 96 1
64 92 7
96 10 8
10 1 9
1 80 5
80 88 7
1 12 8
12 44 1
6 14 9
14 8 7
8 106 3
106 76 6
8 77 10
77 28 2
77 7 8
7 67 4
67 3 10
80 16 10
16 118 2
16 52 4
16 27 9
28 120 14
16 17 14
77 15 14
15 38 3
38 37 10
80 100 14
100 125 6
125 63 3
63 123 10
67 39 15
7 84 15
28 109 15
109 45 11
45 97 8
15 74 15
74 57 10
57 73 14
73 60 11
96 42 15
42 98 2
3 18 16
18 82 1
82 90 8
90 50 9
18 26 9
18 19 11
19 23 3
82 48 16
48 113 3
48 53 5
73 72 16
17 13 17
13 41 3
13 30 7
88 59 17
59 33 5
19 2 18
2 94 1
2 54 6
94 47 11
27 62 19
2 83 20
68 85 20
85 93 21
93 117 4
117 99 11
96 34 21
50 35 21
35 87 1
35 121 7
57 61 21
105 101 22
23 29 22
29 24 16
96 111 23
16 20 23
44 40 25
6 36 26
100 112 28
90 75 32
100 116 33
116 49 21
38 71 33
71 127 26
71 79 26
93 89 33
89 81 4
89 46 6
89 114 10
84 102 35
113 51 35
68 22 37
66 11 38
11 122 2
122 126 29
13 25 38
25 78 4
21 31 39
20 55 40
109 58 41
27 91 46
90 95 46
119 103 52
106 124 58
124 104 31
42 110 58
1 115 64
35 43 71
16 107 76
